[Ano],[Mês/Ano],[Estado],[Bacia],[Campo],[Poço],[Ambiente],[Instalação],[Produção de Óleo (m³)],[Produção de Condensado (m³)],[Produção de Gás Associado (Mm³)],[Produção de Gás Não Associado (Mm³)],[Produção de Água (m³)],[Injeção de Gás (Mm³)],[Injeção de Água para Recuperação Secundária (m³)],[Injeção de Água para Descarte (m³)],[Injeção de Gás Carbônico (Mm³)],[Injeção de Nitrogênio (Mm³)],[Injeção de Vapor de Água (t)],[Injeção de Polímeros (m³)],[Injeção de Outros Fluidos (m³)]
2026,01/2026,Alagoas,Alagoas,PARU,4-ALS-39-AL,MAR,Estação de Paru,"0,00","414,92","0,000","3.127,441","220,65",,,,,,,,
2026,01/2026,Bahia,Camamu,MANATI,7-MNT-1-BAS,MAR,PLATAFORMA DE MANATI,"0,00","177,27","0,000","8.804,376","84,52",,,,,,,,
2026,01/2026,Bahia,Camamu,MANATI,7-MNT-3-BAS,MAR,PLATAFORMA DE MANATI,"0,00","185,87","0,000","7.137,869","74,13",,,,,,,,
2026,01/2026,Bahia,Camamu,MANATI,7-MNT-4-BAS,MAR,PLATAFORMA DE MANATI,"0,00","151,88","0,000","7.312,469","140,40",,,,,,,,
2026,01/2026,Bahia,Camamu,MANATI,7-MNT-5D-BAS,MAR,PLATAFORMA DE MANATI,"0,00","102,34","0,000","11.416,140","82,20",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,6-BRSA-1222A-ESS,MAR,Petrobras 58,"85,01","0,00","20,318","0,000","199,49",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,6-BRSA-639-ESS,MAR,Petrobras 58,"31,36","0,00","8,233","0,000","15,21",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-BAZ-2-ESS,MAR,FPSO CIDADE DE ANCHIETA,,,,,,"0,000","614,75","0,00","0,000","0,000","0,00","0,00","0,00"
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-BAZ-4-ESS,MAR,FPSO CIDADE DE ANCHIETA,"45,31","0,00","13,220","0,000","136,74",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-BAZ-9HA-ESS,MAR,FPSO CIDADE DE ANCHIETA,"41,94","0,00","11,880","0,000","2,68",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-BFR-12PA-ESS,MAR,Petrobras 58,"202,86","0,00","82,332","0,000","47,39",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-BFR-6-ESS,MAR,Petrobras 58,,,,,,"0,000","291,47","0,00","0,000","0,000","0,00","0,00","0,00"
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-BFR-7-ESS,MAR,Petrobras 58,"40,13","0,00","14,881","0,000","40,44",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-JUB-57DPA-ESS,MAR,Petrobras 58,"44,34","0,00","14,262","0,000","196,18",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-JUB-58DPA-ESS,MAR,Petrobras 58,"82,26","0,00","18,887","0,000","35,36",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-JUB-63-ESS,MAR,FPSO CIDADE DE ANCHIETA,"245,55","0,00","67,309","0,000","328,84",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,7-JUB-80D-ESS,MAR,Petrobras 58,"83,36","0,00","19,417","0,000","3,37",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,8-BAZ-7-ESS,MAR,FPSO CIDADE DE ANCHIETA,,,,,,"0,000","155,61","0,00","0,000","0,000","0,00","0,00","0,00"
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,8-JUB-39-ESS,MAR,Petrobras 58,"28,31","0,00","8,399","0,000","26,35",,,,,,,,
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,8-JUB-42DA-ESS,MAR,Petrobras 58,,,,,,"0,000","642,48","0,00","0,000","0,000","0,00","0,00","0,00"
2026,01/2026,Espírito Santo,Campos,AnC_Jubarte_Nordeste,8-JUB-46D-ESS,MAR,Petrobras 58,,,,,,"0,000","434,91","0,00","0,000","0,000","0,00","0,00","0,00"
